package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
gplots,3.0.1.1,3.0.1.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gplots,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gplots,FALSE,FALSE,2019-01-27,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
gridExtra,2.3,2.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gridExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gridExtra,FALSE,FALSE,2017-09-09,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
gtable,0.3.0,0.3.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gtable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gtable,FALSE,FALSE,2019-03-25,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
gtools,3.8.1,3.8.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gtools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/gtools,FALSE,FALSE,2018-06-26,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
haven,2.1.1,2.1.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/haven,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/haven,FALSE,FALSE,2019-07-04,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
heatmaply,1.0.0,1.0.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/heatmaply,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/heatmaply,TRUE,FALSE,2019-07-26,Github (talgalili/heatmaply@a352dff),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
here,0.1,0.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/here,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/here,TRUE,FALSE,2017-05-28,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
highr,0.8,0.8,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/highr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/highr,FALSE,FALSE,2019-03-20,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
hms,0.5.0,0.5.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/hms,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/hms,FALSE,FALSE,2019-07-09,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
htmltools,0.3.6,0.3.6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/htmltools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/htmltools,FALSE,FALSE,2017-04-28,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
htmlwidgets,1.3,1.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/htmlwidgets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/htmlwidgets,FALSE,FALSE,2018-09-30,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
httpuv,1.5.1,1.5.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/httpuv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/httpuv,FALSE,FALSE,2019-04-05,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
httr,1.4.0,1.4.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/httr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/httr,FALSE,FALSE,2018-12-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
iterators,1.0.10,1.0.10,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/iterators,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/iterators,FALSE,FALSE,2018-07-13,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
jsonlite,1.6,1.6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/jsonlite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/jsonlite,FALSE,FALSE,2018-12-07,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
KernSmooth,2.23.15,2.23-15,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/KernSmooth,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/KernSmooth,FALSE,FALSE,2015-06-29,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
knitr,1.23,1.23,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/knitr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/knitr,TRUE,FALSE,2019-05-18,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
labeling,0.3,0.3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/labeling,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/labeling,FALSE,FALSE,2014-08-23,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
later,0.8.0,0.8.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/later,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/later,FALSE,FALSE,2019-02-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
lattice,0.20.38,0.20-38,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/lattice,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/lattice,FALSE,FALSE,2018-11-04,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
lazyeval,0.2.2,0.2.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/lazyeval,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/lazyeval,FALSE,FALSE,2019-03-15,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
